,input,output
2076,"['Drama', 'Family']","title: Chhoti Bahoo
Story: Ravi lives a middle-class lifestyle with his blind dad; mom  Durga; married sister  Mohini  who spends more time here than with her husband and mother-in-law; step-brother Adarsh  his wife  Sita  and their son  Raju; brother Badal  and his wife  Shobha. Durga had always high hopes on her sons and had wanted them to get married to wealthy girls so that she get a lot of dowry by way of cash  jewelery  gold  and clothes. Unfortunately  her step-son fell in love with Sita  who came from a poor family  and married her. To make matters worse  Badal had a love-marriage with gorgeous Shobha  who did not bring any dowry either. Finally  Ravi married Radha  who is an orphan living with a poor lifestyle with her maternal uncle and his wife  and had no dowry to bring. After his marriage  Ravi leaves town for employment reasons. Then one day he receives a letter from Shobha informing him that Radha is misbehaving with the entire family  especially with Durga. Angered at Radha  Ravi returns home  ...
Suitable Actors: Vikas Anand|Beena Banerjee|Bindu|Avtar Gill|Renu Joshi|Kader Khan|Uma Khosla|Reema Lagoo|Ananth Narayan Mahadevan|Sushmita Mukherjee|Kunickaa Sadanand|Vikas Shaney|Shilpa Shirodkar|Ashok Sukhija|"
2077,['Comedy'],"title: Do Fantoosh
Story: Kuldeep and Veerendra Kumar live like friend and family; while Veerendra works as a reporter for a local newspaper publication Kuldeep is busy collecting evidences against a gangster named Shetty. Kuldeep then hand these evidences over to Veerendra who then publishes a headline as well as photographs to expose Shetty. Shetty then retaliates by killing Kuldeep and getting Veerendra dismissed from his job - Veerendra then swears to avenge these injustices by defeating Shetty only to find himself arrested by the police for the rape and murder of a woman.
Suitable Actors: Sadashiv Amrapurkar|Vikas Anand|Ishita Babbar|Raj Babbar|Birbal|Mohan Choti|Kapil Dev|Jamuna|Shakti Kapoor|Kapil Karzan|Amjad Khan|Ranbir Pushp|Sonam|"
2078,"['Crime', 'Mystery', 'Thriller']","title: Dulaara
Story: Raja's adopted father  James Joyner was once a career-criminal who was gun down by the police; thus when there are killings in and around the city Raja became a suspect by the police - only to learn that he is being framed for someone else crime; while on the other hand Inspector Vijay Chauhan is looking for evidences to incarcerate him.
Suitable Actors: Govinda|Karisma Kapoor|Ranjeet|Farida Jalal|Satyajeet|Rakesh Bedi|Gulshan Grover|Dalip Tahil|Mac Mohan|Yunus Parvez|Rajesh Puri|Tej Sapru|Guddi Maruti|Javed Khan|"
2079,"['Comedy', 'Musical', 'Romance']","title: Ghar Ki Izzat
Story: Rambabu is the eldest of four sons in this family. He has brought up his three younger brothers  Shyam  Sohan  and Mohan  with love and fatherly care together with his wife  Sita. Sita has a younger sister  Gita  who also lives with them  is a child-widow. Ram does not approve of anyone refering to Gita as such. Ram decides that it is time for Shyam and Sohan to get married  and he picks their brides for them. Shyam marries Mona  and Sohan marries Sheela. With the entry of these two new wives  the equilibrium of love and respect is disrupted  as both want more control and demand more respect  which leads to clashes and quarrels all round  and changes in the lives of all the inhabitants.
Suitable Actors: Jeetendra|Rishi Kapoor|Anita Raj|Asha Parekh|Om Prakash|Asrani|Satish Shah|Bindu|Kanu Chauhan|Sonika Gill|Satyendra Kapoor|Chandrashekhar|Dinesh Kaushik|Radheshyam|"
2080,"['Comedy', 'Drama', 'Fantasy']","title: Hanste Khelte
Story: Unhappy at the manner in which things on Earth have regressed to  God issues instructions for the complete destruction of mankind and Earth  as love  sacrifice  kindess and compassion are no longer present. Three heavenly angels  Om  Namah  & Shiva  respectfully request God to grant them a period of a week so that they can get an example of love  sacrifice  compassion  and kindness  in order to enable God to reconsider his instructions  to which God agrees  and permits the three angels to visit Earth  on the condition that they will not be visible to any humans  nor will they use their heavenly powers to assist any human in any manner whatsoever. The question remains  that in this Kal Yug (Dark Age) will the angels ever come across a compassionate  and loving human being  who is capable of sacrifice  in such short period of time?
Suitable Actors: Ishrat Ali|Aparajita|Asrani|Rakesh Bedi|Kishore Anand Bhanushali|Dinesh Hingoo|Ananth Narayan Mahadevan|Nandini|Lisa Ray|Rahul Roy|"
2081,"['Action', 'Crime', 'Drama']","title: Hum Hain Bemisaal
Story: D' Souza witnessed a physical alteration between his friend Kishan and Tootie Shah. As a result of which his friend is killed and he is arrested and sentenced to jail. D' Souza struggles in jail in order to educate and brings up his friend's son. Years later the boy grows up to be a police officer  Vijay Sinha and is a brave police officer of the corrupt police department  who often gets into confrontation with Tootie Shah and is misunderstood. D' Souza wanted Vijay to take revenge on Tootie Shah but Vijay is under a wrong impression and will only ensure total destruction of his father's killer - none other than D' Souza himself.
Suitable Actors: Akshay Kumar|Sunil Shetty|Shilpa Shirodkar|Madhoo|Rami Reddy|Jagdeep|Pran|Avtar Gill|Arun Bakshi|Darshan Bagga|Vikas Anand|Kunickaa Sadanand|Raj Tilak|Pradeep Saxena|"
2082,['Action'],"title: Ganga Aur Ranga
Story: Thakur Dhanpath lives a wealthy lifestyle in a small village in India along with his wife  two daughters  and two sons. One of his son is a hunchback named Ranga. Dhanpath also has a younger brother  Narpath  both do not get along  so much so that Narpath takes over the estate and throws Dhanpath and his family out of the house. Forced to live in destitution  Dhanpath encourages the village folks to speak out against Narpath's oppression. As a result Narpath and four other men kill Dhanpath  his wife  molest and then kill his preteen daughter  as well as torture and kill his other daughter and son. Ranga manages to escape and with the help of a young girl named Ganga hides out in a cave. Years later Ranga and Ganga have grown up and have acquired magical powers bestowed on them by Bhagwan Shri Hanuman and Devi Maa Kali. They set out to hunt the killers down - only to find that they themselves have to fight each other  as Ranga is unable to fight his very own uncle and now grown-up ...
Suitable Actors: Sahila Chaddha|Suresh Chatwal|Anita Chopra|Shakti Kapoor|Huma Khan|Jatin Khan|Mohammad Sher Khan|Yasmin Khan|Anil Kochar|Kiran Kumar|Prachi|Sonu Sargam|Asha Sharma|"
2083,"['Action', 'Drama']","title: Insaaf Apne Lahoo Se
Story: After his wife passes away  wealthy Advocate Mahendrapratap Singh re-marries a widow named Geeta  who has a young son named Devilal alias Devi. Mahendrapratap dislikes Devi to such an extent that one day he asks Geeta to make a choice between her son and him. Devi decides to leave so that his mother can have a secure life  but threatens Mahendra that he will be back to avenge this humiliation. Shortly thereafter  Judge Saxena is killed  a pregnant Geeta is arrested  charged with killing him  with Saxena's wife  Roopa  and Mahendrapratap testifying against her  she is sentenced to 14 years in prison. In prison she gives birth to a son  calls him Raja alias Raju and right from his infancy trains his young mind to hate Mahendrapratap  so that when he grows up he will avenge her humiliation. The question remains  will Raju be able to carry out this vengeance against his biological father or does fate have other plans for him?
Suitable Actors: Shatrughan Sinha|Sanjay Dutt|Shekhar Suman|Farha Naaz|Sonam|Gulshan Grover|Kulbhushan Kharbanda|Kader Khan|Gita Siddharth|Beena Banerjee|Ashalata Wabgaonkar|Sameer Khakhar|Shashi Kiran|Babbanlal Yadav|"
2084,"['Action', 'Drama']","title: Jai Kishen
Story: Twins by birth  Jai and Kishen are separated when their police officer father is killed by criminal elements. While Jai is blind and is taught self-dense; Kishen is a career con man who would go to any length to get a quick buck. Jai and Kishen do get to unite and together they plotted to locate and take revenge on all wrong-doers especially the ones responsible for their dad's death - who are now the leading gangsters of the city.
Suitable Actors: Akshay Kumar|Ayesha Jhulka|Chandni|Reema Lagoo|Arun Bakshi|Mahavir Shah|Avtar Gill|Vikas Anand|Viju Khote|Deepak Shirke|Harish Patel|"
2085,"['Crime', 'Thriller']","title: Janam Se Pehle
Story: Geeta  a criminal lawyer  has to defend a man who is allegedly mentally unstable and has killed three men. As she delves deeper into his case she realizes that things aren't what they seem and another murder might be impending.
Suitable Actors: Raj Babbar|Farha Naaz|Sumeet Saigal|Swapna|Shafi Inamdar|Sadashiv Amrapurkar|Viju Khote|Deepak Qazir|Brahmachari|Shrivastava|Harish Magon|Mahavir Shah|Gajendra Chouhan|Narinder Anand|"
2086,"['Action', 'Comedy', 'Drama']","title: Gopi Kishan
Story: Gopinath lives a struggling life with his son  Tinku  wife  Chanda and mother. He works in the police force and is a long-time employee but has never received an award or granted promotion since he does not discharged his duty properly. Everyday he prays to Lord Hanuman to grant him his wish and one day when he visits the police station he finds that he has been promoted and is to be given higher wages  he decides to visit the temple and thank Lord Hanuman. From here on Gopinath finds that all his encounter is being conducted successfully with him doing nothing but gets promoted and his salary is rising up more and more. When Tinku is kidnapped by a gangster  Sawant. Gopinath must now go to negotiate the release of his son and here is where he will comes to know that he has a look-alike  Kishen  who may be responsible for getting him promoted and conducting his encounters. Will this new errant prove to be dangerous for Gopinath or will he prove to be a boon?
Suitable Actors: Sunil Shetty|Karisma Kapoor|Shilpa Shirodkar|Suresh Oberoi|Abhimanyyu Abhimanyu|Aruna Irani|Mohan Joshi|Shammi|Mushtaq Khan|Satyendra Kapoor|Shiva Rindani|"
2087,"['Action', 'Drama', 'Thriller']","title: Gangster
Story: A priest witness a crime committed by the villain  before the priest could take action the villain frames the priest and goes to jail. After years when the priest comes out  he seeks revenge against the villain.
Suitable Actors: Mamta Kulkarni|Manu Gargi|Anita Ayoob|Mink Singh|Rubaina Khan|Ajit|Arjun Sarja|Navneet Nishan|Alok Nath|Amita Nangia|Joginder Shelly|Rakesh Bedi|Sunil Kapoor|Deepshika Nagpal|"
2088,"['Action', 'Comedy']","title: Ikke Pe Ikka
Story: Kailashnath is a wealthy widower  who lives in a palatial house with three grown sons  Randhir  Rajiv  Rishi  and a younger school-going son. He manages the business on his own  but would like his sons to also take an interest  in vain though  as all three have their own interest at heart (being a Bollywood actor  singing  and boxing) and no interest whatsoever in running a business or seeking employment. To add to this  Kailashnath must now contend with a new neighbor named Kaushalya  a widow  with three daughters (Komal  Kavita and Kanchan) and a rather plump maid-servant by the name of Guddi. It so happens that the daughters have similar interests as Kailashnath's sons. So the six match-up  romance  have fun  and would like to get married. Kailashnath refuses to permit his sons to get married until and unless they establish themselves and are able to stand on their respective feet. He  therefore  puts forth a proposal to marry Kaushalya - a marriage that will douse the romance of ...
Suitable Actors: Akshay Kumar|Shanti Priya|Prithvi|Chandni|Pankaj Dheer|Manjeet Kular|Moushumi Chatterjee|Anupam Kher|Shafi Inamdar|Beena Banerjee|Harish Patel|Paintal|Bhushan Jeevan|Shiva Rindani|"
2089,"['Comedy', 'Drama', 'Music']","title: Kabhi Haan Kabhi Naa
Story: Sunil and some of his friends start a band and perform at weddings and special occasions. Sunil is in love with Aana but Aana loves Chris; when Sunil finds out about this he decides to utilize the best of his powers to prevent the couple from meeting only to stand exposed in the eyes of Aana who throws him out from the music band. He finds an opportunity coming his way when Chris' parents arrange his marriage elsewhere but another calamity occurs when when Chris finds out that he failed his exam forcing him to forge a certificate which states that he is successful at the exam in the eyes of his parents.
Suitable Actors: Shah Rukh Khan|Suchitra Krishnamoorthi|Deepak Tijori|Rita Bhaduri|Satish Shah|Anjan Srivastav|Goga Kapoor|Tiku Talsania|Ravi Baswani|Naseeruddin Shah|Juhi Chawla|Kurush Deboo|Aditya Lakhia|Shashi Sahay|"
2090,"['Action', 'Crime', 'Drama']","title: Insaniyat
Story: SSP Amar Nath Singh is an honest and diligent police officer. His investigations have proved that Brijbhan is involved in criminal activities  as well as terrorism  and has the full co-operation of some employees in the police department  as well as the Indian army. He has also to bring two gang-leaders  Karim Lala  and Hariharan  to stop their gang rivalry. To this extent he is successful in convincing both to stop criminal activities  and join forces with him to bring Brijbhan to justice. Hariharan and Karim Lala openly agree to do this  while they prepare a hidden agenda which will only benefit them.
Suitable Actors: Tom Alter|Sadashiv Amrapurkar|Amitabh Bachchan|Rakesh Bedi|Prem Chopra|Sunny Deol|Gorilla|Shafi Inamdar|Aruna Irani|Pallavi Joshi|Goga Kapoor|Satyendra Kapoor|Mukesh Khanna|Anupam Kher|"
2091,"['Action', 'Drama', 'Musical']","title: Khuddar
Story: Honest Police Inspector Siddhant Suri takes it upon himself to bring to justice the people who are involved in human flesh trading business only to aggravate his fellow colleague inspector Adarsh Vardhan who is corrupt. Adarsh decides to teach Siddhant a lesson by tendering his resignation from the police force only to join politics so that he can contest against Siddhant's father  Shastri who happens to be the Chief Minister of the region. With the help of Shastri's corrupt assistant  Kanhaiyalal Adarsh manages to outwit Shastri and is elected as the next Chief Minister of that region. But Adarsh is still not satisfy humiliating Siddhant and continues to insult him when Siddhant is assign with the task of being the security in-charge of him. Meanwhile Siddhant meets with a blind cabaret dancer  Pooja and both get married. Unknown to Siddhant that his very own brother  Nandu is involved in the flesh trading business and is responsible for Pooja losing her sight.
Suitable Actors: Govinda|Karisma Kapoor|Shakti Kapoor|Kader Khan|Shreeram Lagoo|Anjana Mumtaz|Raju Shrestha|Mahesh Anand|Jack Gaud|"
2093,"['Action', 'Drama']","title: Juaari
Story: Aneeta's father looses her to Sanga in gambling Aneeta's lover Vijay goes to Sanga and asks to free her.Sanga tells Vijay he will free Aneeta if he could arrange 10 Lakhs within a year to earn money Vijay tries his luck in street gambling with Salim Tension they manage to earn some money until Vijay is jailed for gambling when he comes out of jail he finds that Sanga has already taken Aneeta in his den Vijay and Salim go to gamble in Sanga 's club where Vijay kills Sanga 's son and is on he run while Sanga creates riots in he city in order to find Vijay  Dharam Singh a suspended cop is called back on duty in order to control Sanga's activities.
Suitable Actors: Dharmendra|Arman Kohli|Shilpa Shirodkar|Deepak Saraf|Raza Murad|Mehmood|Paresh Rawal|Kiran Kumar|Johnny Lever|"
2094,['Romance'],"title: Jazbaat
Story: Jagdish comes to his village to sell his ancestors property as there is no one to take care after him.Balraj who is caretaker of all his properties tells him by doing so he will be jobless.Jagdish asks Balraj to come to Bombay and will help him get work but his son Vishal is in no mood to go to Bombay.Surma is a fearful gangster in Bombay he kills Inspector Agnihotri where in Inspector Khan swears to kill him.Vishal gets in tiff with Surma's man Kishen and Babban but Surma spares him and asks to work for him.Vishal does I'll legal work for Surma and catches the eye of Inspector Khan.Vishal meets Varsha and both fall in love meanwhile.Jagdish calls Balraj and asks to take care of his property and provides him the shop keys which does not go well with his brother Inlder Inder kills Jagdish and blames Blaraj for it.Inspector Khan comes to arrest Balraj but manages to escape with help of Vishal now Khan any how wants to get hold of them.
Suitable Actors: Suchitra Krishnamoorthi|Rohit Roy|Reema Lagoo|Mohnish Bahl|Kiran Kumar|Raj Kiran|Deepak Shirke|Neena Gupta|Karan Roy|"
2096,"['Action', 'Crime', 'Drama']","title: Madam X
Story: Sonu lives a poor lifestyle in India  along with her sister  Nirmala  brother  Raju  a widowed aunt  and makes a living sharpening knives. She is approached by Police Inspector Vijay  who wants her to impersonate an underworld criminal don  known only as Madam X  who is under his secret custody. Sonu agrees to do so  especially when Vijay offers her a monthly salary of Rs.10 000/-. She learns the mannerism of Madam X  is taught English  and proper etiquette  and inducted in the Madam X gang. While Sonu does her best  she is regarded with suspicion by Madam X's assistant  Jhaka  who she kills. Then her world is turned upside down when the real Madam X escapes  abducts Nirmala and Raju  and severely beats Sonu up. While Vijay wants to help Sonu  he will soon realize that the Madam in 'Madam X' is actually two people - with another powerful individual named 'X' - who is unknown and even more deadly than the Madam.
Suitable Actors: Rekha|Mohsin Khan|Shakti Kapoor|Raza Murad|Kiran Juneja|Parikshat Sahni|Jagdeep|"
2097,['Drama'],"title: Khudai
Story: Raj Anand is a Bollywood movie director and lives a wealthy lifestyle with his wife  Padmini  and only son  Varun. He is respected and liked in the industry and is known to be a man of honesty and principles. He feels that Varun should make a debut in one of his movies  which he decides to call ""Nagar Vadhu"" (Prostitute)  and hopes to cast a well-known Bollywood actress  Sakhi Swami  opposite Varun in the female lead role. The only problem is that Varun dislikes acting  but when Raj persuades him  he changes his mind  and agrees to act in this movie. Varun meets with Sakhi  and both are attracted to each other. This does not auger well with Raj and he puts a stop to the production immediately. It is then that Varun finds out that his principled father has been known to have an illicit relationship with Sakhi. How will this knowledge help him overcome the wall of mistrust that has now arisen between his dad  himself  and Sakhi.
Suitable Actors: Rajesh Khanna|Madhavi|Deepika Chikhalia|Gulshan Grover|Arun Bakshi|Asha Sharma|Anil Nagrath|"
2098,['Action'],"title: Karan
Story: Karan is a happy go lucky guy whose life takes a turn when is mother is falsely implicated for drugs in her hotel where in she commits suicide.
Suitable Actors: Virender Razdan|"
2099,['Drama'],"title: Mammo
Story: 13 year old Riyaz lives a poor lifestyle in Bombay  India  with his grandmother  Fayyuzi  and her sister  Mehmooda alias Mammo. Quite outspoken and embittered over his dad abandoning him  Riyaz does not have many friends  save for Rohan. When Mammo plans a surprise birthday party for him  Riyaz is offended as he believes his friends will make fun of him as his lifestyle is not as good as their's. Fayyuzi and Riyaz have an argument with Mammo  and she leaves for the Mosque at Haji Ali  but returns when both apologize to her. Although Mammo was born in Panipat during the British Raj  she was one of thousands of Muslims who left for Pakistan. She was married over there  could not conceive  was branded a ""barren woman""  and asked to leave. Having nowhere else to go  she came to live with her widowed sister in Bombay on a temporary Visa. Every month she would walk to the nearest Police Station and get an extension. She finally paid a Rs.4800/ as a bribe in order to get a permanent visa ...
Suitable Actors: Farida Jalal|Surekha Sikri|Amit Phalke|Himani Shivpuri|Shri Vallabh Vyas|Ameya Balsekar|Soumya Dhan|Kishore Kadam|Sandeep Kulkarni|Siraj Ahmed|Ganesh Yadav|Snehal Vilankar|Sanjay Batra|Rupal Patel|"
2100,['Romance'],"title: Madhosh
Story: A wealthy man's daughter falls in love with a poor boy but their relationship is disapproved of by her father. When an eligible suitor is selected by her father  the girl decides to manipulate him.
Suitable Actors: Deven Bhojani|Dilip Dhawan|Dinesh Hingoo|Anjali Jathar|Anant Jog|Ahmed Khan|Faisal Khan|Mushtaq Khan|Kiran Kumar|Bhushan Patel|Supriya Pathak|Parikshat Sahni|"
2101,"['Action', 'Crime', 'Drama']","title: Naaraaz
Story: Wealthy author Ajay Pandit befriends angry and poor Deva  who lives in the nearby slums with his widower father. After the two men grow up  Ajay falls in love with Sonali  while Deva continues to live a life of destitution. After the local Poojary poisons potable water leading to many deaths  Deva beats him up  and is awarded. Shortly thereafter  Deva himself will be on the run from the police; his father will be arrested for possession of arms and ammunition; and Ajay will find himself arrested and prosecuted for hiding Deva. Ajay and Deva are destined to meet again - not as friends - but as enemies.
Suitable Actors: Pooja Bhatt|Mithun Chakraborty|Atul Agnihotri|Sonali Bendre|"
2102,"['Action', 'Comedy', 'Drama']","title: Kranti Kshetra
Story: Honest  responsible and diligent officer  Major Barkat Ali excels in the Indian armed forces so much that he is asked to apprehend notorious criminal  Shaitan Singh. He does manages to carry out this task successfully and ensures that Shaitan Singh gets the death penalty. Then he is assign with the task of lecturing self-defense at a private institution to some spoil  wealthy students only to learn that these very students are abducted by Shaitan Singh's elder brother  Haiwan Singh till such time the law arranges the release of Shaitan Singh. It is at this point Major Barkat Ali will be forced to make some crucial decisions not to harm himself  his country nor his students and it will be a lesson to those students that it is necessary to take strict steps to protect themselves and their country from all criminal masterminds.
Suitable Actors: Mithun Chakraborty|Pooja Bhatt|Harish|Kanchan|Adnan|Siddhant|Gulshan Grover|Laxmikant Berde|Shiva Rindani|Puneet Issar|Rakesh Bedi|Avtar Gill|Shekhar Navre|Shakti Kapoor|"
2103,"['Comedy', 'Drama', 'Romance']","title: Pehla Pehla Pyar
Story: Sapna runs away from her aristocratic home  fed-up of the hatred and family politics. She meets with Raj  who she is attracted to. Raj  at first wants to get rid of her  then eventually falls in love with her. Then the two of them have to be on the run as her family find out where she is after they put up a reward for her whereabouts.
Suitable Actors: Rishi Kapoor|Tabu|Anupam Kher|Gulshan Grover|Radha Seth|Kader Khan|Amrish Puri|Tiku Talsania|Asha Sharma|Mahima|Arun Mathur|Roma Manik|G.P. Singh|Birbal|"
2104,"['Action', 'Crime', 'Drama']","title: Maha Shaktishaali
Story: Hindi crime melodrama starring Dharmendra as a truck driver who vows to bring down the crime boss who killed his friend.
Suitable Actors: Pankaj Berry|Dharmendra|Gulshan Grover|Ayesha Jhulka|Anupam Kher|Sujata Mehta|Alok Nath|Amrish Puri|Tej Sapru|Avinash Wadhavan|"
2105,"['Action', 'Drama', 'Fantasy']","title: Prem Shakti
Story: Gangwa lives a poor lifestyle in a village in India. He is in love with Gauri and both want to get married. Gauri's dad  an astrologer  approves of Gangwa  but predicts that they will never get married. They decide to stay together and the night of Poornima  come to the rescue of Naagraj  who is being mesmerized by a Tantrik  who wants to steal a Mani  which will absorb the moonlight  enabling him to make a concoction  and after drinking this  will become immortal and invincible. Furious by their interference  he turns Gauri to stone  and unable to withstand the shock  Gangwa passes away. 25 years later Gangwa is re-born as Krishna  and lives a poor lifestyle with his foster mother. She wants him to get married to Pinky  but Krishna wants to establish himself first. He finds a job with a mannequin maker  and with Naagraj's help  creates a near-lifelike mannequin of Gauri. His employer sells this mannequin to Romeo  who is an employee with a fledging department store run by Kewalchand....
Suitable Actors: Govinda|Karisma Kapoor|Shakti Kapoor|Raza Murad|Puneet Issar|Kader Khan|"
2106,['Drama'],"title: Saajan Ka Ghar
Story: The Dhanrajs are blessed with a daughter. However  during childbirth  Dhanraj's wife dies and he blames his daughter for his wife's fate. He refuses to see her face and remarries. His daughter  Laxmi  grows up to be a beautiful woman who's ignored by her father and abused by her stepmother. The only person who stands by her is her half-brother. Laxmi soon gets married but fate seems to hold nothing new for her. She has a loving relationship with her husband  but her mother-in-law couldn't stand her and she too physically abuses her.
Suitable Actors: Rishi Kapoor|Juhi Chawla|Deepak Tijori|Farheen|Anupam Kher|Kader Khan|Bindu|Shubha Khote|Alok Nath|Anjana Mumtaz|Beena Banerjee|Johnny Lever|Dinesh Hingoo|Mohnish Bahl|"
2107,"['Action', 'Comedy', 'Drama']","title: Mr. Azaad
Story: Satyaprakash and his wife live in a poor community of mill workers. Satyaprakash is a union leader  and this puts him in deadly conflict with the mill management and he is killed  leaving behind his pregnant wife. His wife gets accused of killing her husband  is found guilty  and imprisoned. While in prison  she gives birth to a baby boy  Azaad  and passes away. Thus orphaned  Azaad depends on the big-hearted people in this poor community. When he grows up  Azaad takes to petty crime and acts like a modern day Robinhood. His girlfriend  Roopa  wants him to get suitable employment  and stop being a gangster and thief. Azaad gets a job as a police inspector  but he does not give up on his Robinhood style  and does everything in his power to accept bribes  and condone criminals for a hefty fee. When questioned  he openly states that he does not keep the money for himself  but instead uses it for the needy in his community. Then the death of a honest Havaldar named Hari creates a change ...
Suitable Actors: Anil Kapoor|Niki Walia|Ishrat Ali|Shakti Kapoor|"
2108,"['Action', 'Drama', 'Fantasy']","title: Paramaatma
Story: Devout lower-caste Poojary Madhavcharya lives a poor lifestyle in a village along with his wife  a son  and younger brother  Gopal. He makes a living by offering prayers at the local Mandir  is very much respected by villagers  and believed to actually speak with Bhagwan Shri Kishan. Troubles will plague him after he finds out that Gopal has not only been creating problems for Chaudhry Rudranarayan  but has also fallen in love and wants to get married to an upper-caste girl  Rajni  the daughter of the local Thakurain. Before he could even attempt to resolve these issues  the keys of the Mandir are taken away from him  and he can no longer pray nor converse with Kishanji. Things come to a boil after he is told that Gopal has forcibly taken the keys  and has stolen all the Mandir's jewelry.
Suitable Actors: Mithun Chakraborty|Juhi Chawla|Amrish Puri|Shammi|Reema Lagoo|Harish Patel|Anjana Mumtaz|Sushmita Mukherjee|Raja Bundela|Kuldip Malik|Anil Rajput|Rajesh Puri|Dinesh Kaushik|Savarkar|"
2109,"['Drama', 'Family']","title: Prem Yog
Story: Maharaj Chatrapal Singh and his wife the Maharani are delighted when they become proud parents of a son - the heir to the thrown of Ramgad. Their delight is short-lived when the Palace Astrologer predicts that Chatrapal will be the last of the Maharajas for Ramgad  and no throne is destined for his son  Raju. Perturbed at this news  Chatrapal decides to protect Raju from the world  and makes him lead a secluded life within the four walls of the palace and it's surrounding grounds. Years later  Raju has grown up and his has arranged his marriage with a young woman of noble parentage. Raju is unhappy with this decision  and decides to run away with his bodyguard  Gulshan. They end up in Bombay city  where Raju starts to work as a waiter in a restaurant. He meets with and falls in love with a dancer and singer  Anita Sethi  who is the daughter of a wealthy man. Her father would like her to marry Jimmy Narang  son of the wealthy Mr. Narang  but Anita too falls in love with Raju. When ...
Suitable Actors: Rishi Kapoor|Madhoo|Shammi Kapoor|Shakti Kapoor|Prem Chopra|"
2110,"['Action', 'Drama', 'Romance']","title: Stunttman
Story: Wealthy Reena falls in love with her brother's (Vijay) friend  Pune-based Bajrang Tiwari  a motorbike-stuntman  much to the chagrin of her widowed mother. When Reena adamantly insists on marrying him  her mother attempts to talk Vijay and Bajrang to stop risking their lives as her husband  as well as Bajrang's dad had lost their respective lives living dangerously. She even wants Bajrang to live with her  but he refuses. The marriage takes place  and Reena re-locates to live in the slums with her husband. Shortly thereafter she gives birth to a daughter  Guddi. Then their lives are shattered after Vijay is killed  and evidence points to Bajrang. Reena leaves him and moves in with her mother and wants Guddi to also live with her. More surprises and shocks await her when she finds that Bajrang has absconded with Guddi and she may never see her child again.
Suitable Actors: Avtar Singh Ahluwalia|Tinnu Anand|Ami Asthana|Bose Babu|Zeba Bakhtiar|Girish Batra|Rita Bhaduri|Brownie|Sameer Chitre|Sanjeev Chitre|Jack Gaud|Ramesh Guchia|Shakti Kapoor|Mehmood Khan|"
2111,"['Comedy', 'Drama', 'Romance']","title: Pyar Ka Rog
Story: Fellow collegians  Ravi Singh and Reema Sharma  fall in love; she is introduced to Ravi's eccentric dad  Colonel Udham  who approves of her  and permits them to get married. Shortly thereafter Udham has an indoor accident  hurts his leg  and recruits an attractive nurse to look after him. Both end up falling in love with each other  and want to get married. Ravi and Reema are thrilled when they find out  but their joy will be short-lived after Reema finds out that the nurse is none other than her very own mother.
Suitable Actors: Ravi Behl|Sheeba|"
2112,['Drama'],"title: Udhaar Ki Zindagi
Story: Sitaram runs his family in an authoritarian manner. He has planned the marriage of his son  Vasudev  only to be told that Vasudev loves another woman  Suman  who he plans to marry. Sitaram tells his son to forget about his love  and marry the woman he has chosen for him. Vasudev instead marries Suman  and brings her home to introduce her to to his family. While the rest of the family welcome Suman  Sitaram makes it clear that she is not welcome. Shortly thereafter Vasudev and Suman leave the household and re-locate to the U.S. Several years later  Sitaram receives a letter informing him that Vasudev and his family will be coming to visit them in India. Sitaram looks forward to seeing his son and his family after all these years. He is enraged when he finds that the only one sent to visit him is Sita  his granddaughter  and the excuse for Vasudev and Suman not attending is that ""they are busy"". Old wounds surface  and Sitaram will have nothing to do with his granddaughter  who has ...
Suitable Actors: Jeetendra|Moushumi Chatterjee|Kajol|Rohit Bhatia|Sujata Mehta|Tinnu Anand|Ravi Kishan|Shiva Rindani|Raghuvir Yadav|Anu Dhawan|Shantanu Chhaparia|Unni Mary|Rabia|Master Khurshid|"
2113,"['Comedy', 'Thriller']","title: Teesra Kaun?
Story: Three Bollywood-stricken  Calcutta-based slackers  Vijay Verma (Chunky Pandey)  Bingo Nagpurkar (Satish Shah)  and Khoka Ganguli (Rakesh Bedi)  board the Howrah-Bombay Mail  to watch a cricket match  and to meet Mithun Chakraborty. After boarding  the trio consume considerable alcohol. Vijay introduces himself to two other passengers  C.K. Kadam (Amol Palekar)  and Manjula Saxena (Ritu Parna)  as he finds the latter very attractive. He wants to change his seat to sit next to her  but the passenger  Pankaj Nigam  occupying it  refuses to leave  leading to a physical altercation  which ends in Vijay being asked to return to his seat. During a stopover  Pankaj departs  and when the train resumes its journey  Mr. Kadam finds Manjula's dead body. The police begin their investigation  and interrogate Pankaj and Vijay  and not only discover that Pankaj is not who he claims to be  but there is also a third unknown suspect.
Suitable Actors: Mithun Chakraborty|Chunky Pandey|Somy Ali|Javed Jaffrey|Sadashiv Amrapurkar|Satish Shah|Rakesh Bedi|Tinnu Anand|Amol Palekar|Rituparna Sengupta|Sheeba|Gautami|Anil Dhawan|Beena Banerjee|"
2114,"['Action', 'Drama']","title: The Gentleman
Story: Vijay runs a small business and is also a master thief who is wanted by the cops. But  his motive for committing theft is to build a school where students can get free education and become professionals in their field.
Suitable Actors: Chiranjeevi|Juhi Chawla|Paresh Rawal|Laxmikant Berde|Heera Rajgopal|Deepak Tijori|"
